pixelID mppcID probability
1 1 0.00054
1 2 0.000516
1 3 0.000522
1 4 0.0005
1 5 0.000564
1 6 0.000478
1 7 0.000506
1 8 0.000472
2 1 0.00059
2 2 0.00052
2 3 0.000534
2 4 0.000518
2 5 0.000474
2 6 0.000536
2 7 0.000508
2 8 0.000522
3 1 0.000622
3 2 0.000496
3 3 0.000516
3 4 0.000458
3 5 0.000458
3 6 0.00044
3 7 0.00054
3 8 0.000592
4 1 0.000758
4 2 0.000618
4 3 0.00047
4 4 0.000524
4 5 0.000426
4 6 0.000464
4 7 0.000534
4 8 0.000666
5 1 0.000764
5 2 0.000648
5 3 0.000494
5 4 0.00042
5 5 0.00044
5 6 0.00042
5 7 0.00049
5 8 0.000644
6 1 0.000848
6 2 0.0006
6 3 0.000496
6 4 0.000402
6 5 0.00036
6 6 0.000438
6 7 0.000478
6 8 0.000574
7 1 0.000996
7 2 0.000678
7 3 0.000426
7 4 0.000344
7 5 0.000384
7 6 0.00037
7 7 0.000442
7 8 0.000636
8 1 0.001282
8 2 0.000678
8 3 0.000454
8 4 0.000388
8 5 0.000462
8 6 0.000384
8 7 0.000418
8 8 0.000684
9 1 0.001334
9 2 0.000654
9 3 0.000402
9 4 0.000382
9 5 0.000408
9 6 0.00043
9 7 0.000414
9 8 0.000664
10 1 0.001794
10 2 0.000718
10 3 0.00044
10 4 0.000552
10 5 0.000466
10 6 0.000558
10 7 0.000464
10 8 0.000648
11 1 0.002146
11 2 0.000716
11 3 0.000524
11 4 0.000616
11 5 0.000618
11 6 0.000654
11 7 0.000504
11 8 0.00076
12 1 0.00293
12 2 0.000712
12 3 0.00071
12 4 0.000738
12 5 0.000726
12 6 0.000804
12 7 0.000636
12 8 0.000628
13 1 0.004414
13 2 0.000658
13 3 0.000946
13 4 0.00084
13 5 0.00094
13 6 0.000872
13 7 0.000898
13 8 0.000614
14 1 0.008236
14 2 0.000746
14 3 0.001032
14 4 0.00092
14 5 0.00101
14 6 0.00095
14 7 0.001068
14 8 0.000792
15 1 0.027968
15 2 0.001084
15 3 0.001214
15 4 0.001068
15 5 0.00099
15 6 0.00105
15 7 0.001082
15 8 0.000948
16 1 0.000532
16 2 0.00055
16 3 0.000564
16 4 0.00057
16 5 0.00053
16 6 0.00057
16 7 0.000508
16 8 0.00044
17 1 0.000432
17 2 0.000472
17 3 0.000514
17 4 0.000524
17 5 0.00062
17 6 0.000546
17 7 0.000482
17 8 0.00048
18 1 0.000398
18 2 0.000382
18 3 0.000474
18 4 0.000606
18 5 0.000674
18 6 0.00061
18 7 0.000506
18 8 0.000426
19 1 0.000428
19 2 0.00042
19 3 0.000462
19 4 0.00058
19 5 0.00074
19 6 0.00067
19 7 0.00046
19 8 0.000396
20 1 0.00042
20 2 0.000382
20 3 0.000396
20 4 0.000666
20 5 0.000842
20 6 0.000678
20 7 0.000454
20 8 0.000334
21 1 0.000448
21 2 0.00043
21 3 0.000424
21 4 0.000674
21 5 0.000958
21 6 0.000664
21 7 0.000448
21 8 0.000454
22 1 0.00041
22 2 0.00036
22 3 0.000432
22 4 0.000674
22 5 0.001134
22 6 0.000684
22 7 0.000496
22 8 0.000372
23 1 0.00044
23 2 0.000382
23 3 0.000416
23 4 0.000662
23 5 0.001414
23 6 0.000632
23 7 0.000442
23 8 0.00039
24 1 0.000454
24 2 0.000528
24 3 0.000432
24 4 0.000628
24 5 0.001726
24 6 0.000708
24 7 0.000462
24 8 0.00054
25 1 0.000624
25 2 0.000678
25 3 0.000556
25 4 0.00067
25 5 0.00221
25 6 0.000668
25 7 0.000572
25 8 0.000652
26 1 0.00074
26 2 0.000738
26 3 0.000618
26 4 0.000688
26 5 0.00293
26 6 0.000686
26 7 0.000698
26 8 0.00074
27 1 0.000934
27 2 0.0009
27 3 0.000878
27 4 0.000664
27 5 0.004284
27 6 0.000666
27 7 0.000856
27 8 0.000866
28 1 0.001094
28 2 0.00096
28 3 0.001024
28 4 0.000704
28 5 0.00839
28 6 0.000812
28 7 0.001118
28 8 0.000938
29 1 0.001042
29 2 0.001044
29 3 0.001114
29 4 0.001142
29 5 0.027768
29 6 0.00105
29 7 0.001196
29 8 0.001056
30 1 0.00051
30 2 0.000578
30 3 0.000618
30 4 0.000506
30 5 0.000518
30 6 0.000502
30 7 0.000472
30 8 0.000464
31 1 0.000458
31 2 0.000594
31 3 0.000492
31 4 0.000606
31 5 0.000484
31 6 0.00046
31 7 0.000506
31 8 0.00052
32 1 0.000662
32 2 0.000688
32 3 0.00054
32 4 0.000476
32 5 0.000468
32 6 0.00051
32 7 0.000432
32 8 0.000526
33 1 0.0007
33 2 0.000688
33 3 0.00058
33 4 0.00043
33 5 0.000462
33 6 0.000414
33 7 0.000448
33 8 0.00058
34 1 0.000704
34 2 0.00074
34 3 0.000514
34 4 0.00047
34 5 0.000468
34 6 0.0004
34 7 0.000428
34 8 0.00057
35 1 0.000814
35 2 0.000762
35 3 0.000458
35 4 0.000386
35 5 0.000374
35 6 0.000338
35 7 0.000462
35 8 0.000578
36 1 0.000962
36 2 0.000796
36 3 0.000464
36 4 0.0004
36 5 0.00044
36 6 0.000402
36 7 0.000434
36 8 0.000572
37 1 0.001164
37 2 0.000832
37 3 0.000438
37 4 0.000352
37 5 0.00041
37 6 0.00037
37 7 0.000394
37 8 0.000558
38 1 0.001428
38 2 0.000716
38 3 0.000496
38 4 0.00041
38 5 0.000384
38 6 0.000434
38 7 0.00041
38 8 0.00058
39 1 0.001692
39 2 0.000766
39 3 0.000488
39 4 0.000522
39 5 0.000492
39 6 0.000608
39 7 0.000446
39 8 0.000626
40 1 0.00216
40 2 0.000734
40 3 0.000542
40 4 0.00067
40 5 0.000612
40 6 0.000638
40 7 0.000556
40 8 0.000612
41 1 0.0027
41 2 0.00076
41 3 0.000666
41 4 0.00078
41 5 0.000764
41 6 0.000882
41 7 0.000814
41 8 0.000612
42 1 0.003658
42 2 0.000748
42 3 0.000804
42 4 0.000862
42 5 0.000838
42 6 0.000898
42 7 0.000898
42 8 0.000714
43 1 0.005262
43 2 0.000664
43 3 0.001082
43 4 0.000958
43 5 0.001082
43 6 0.001018
43 7 0.001074
43 8 0.000724
44 1 0.004834
44 2 0.001026
44 3 0.001136
44 4 0.001056
44 5 0.00109
44 6 0.001062
44 7 0.00106
44 8 0.001078
45 1 0.000472
45 2 0.000494
45 3 0.000572
45 4 0.000596
45 5 0.000584
45 6 0.000438
45 7 0.00053
45 8 0.000518
46 1 0.00046
46 2 0.000524
46 3 0.00051
46 4 0.000676
46 5 0.000632
46 6 0.00059
46 7 0.000536
46 8 0.000468
47 1 0.000386
47 2 0.000424
47 3 0.000558
47 4 0.000674
47 5 0.000624
47 6 0.000526
47 7 0.000416
47 8 0.000444
48 1 0.000422
48 2 0.000428
48 3 0.000518
48 4 0.00069
48 5 0.000772
48 6 0.000502
48 7 0.000444
48 8 0.000418
49 1 0.000338
49 2 0.000404
49 3 0.000466
49 4 0.000688
49 5 0.00075
49 6 0.000594
49 7 0.000448
49 8 0.00042
50 1 0.000394
50 2 0.00039
50 3 0.000554
50 4 0.000712
