pixelID mppcID probability
1 1 0.00054
1 2 0.000496
1 3 0.000516
1 4 0.000528
1 5 0.000522
1 6 0.000486
1 7 0.0005
1 8 0.000534
1 9 0.000564
1 10 0.000542
1 11 0.000478
1 12 0.000528
1 13 0.000506
1 14 0.000522
1 15 0.000472
1 16 0.00045
2 1 0.00059
2 2 0.000534
2 3 0.00052
2 4 0.000558
2 5 0.000534
2 6 0.000564
2 7 0.000518
2 8 0.00045
2 9 0.000474
2 10 0.000502
2 11 0.000536
2 12 0.000512
2 13 0.000508
2 14 0.000574
2 15 0.000522
2 16 0.000484
3 1 0.000622
3 2 0.000628
3 3 0.000496
3 4 0.000612
3 5 0.000516
3 6 0.000482
3 7 0.000458
3 8 0.000464
3 9 0.000458
3 10 0.000444
3 11 0.00044
3 12 0.000494
3 13 0.00054
3 14 0.000504
3 15 0.000592
3 16 0.000576
4 1 0.000758
4 2 0.000644
4 3 0.000618
4 4 0.000536
4 5 0.00047
4 6 0.00046
4 7 0.000524
4 8 0.00042
4 9 0.000426
4 10 0.000452
4 11 0.000464
4 12 0.00046
4 13 0.000534
4 14 0.000568
4 15 0.000666
4 16 0.000622
5 1 0.000764
5 2 0.000734
5 3 0.000648
5 4 0.000614
5 5 0.000494
5 6 0.000462
5 7 0.00042
5 8 0.00044
5 9 0.00044
5 10 0.000436
5 11 0.00042
5 12 0.000432
5 13 0.00049
5 14 0.000524
5 15 0.000644
5 16 0.000668
6 1 0.000848
6 2 0.000788
6 3 0.0006
6 4 0.000556
6 5 0.000496
6 6 0.00044
6 7 0.000402
6 8 0.000428
6 9 0.00036
6 10 0.000406
6 11 0.000438
6 12 0.00042
6 13 0.000478
6 14 0.000568
6 15 0.000574
6 16 0.000768
7 1 0.000996
7 2 0.000874
7 3 0.000678
7 4 0.000492
7 5 0.000426
7 6 0.00043
7 7 0.000344
7 8 0.000404
7 9 0.000384
7 10 0.000424
7 11 0.00037
7 12 0.000366
7 13 0.000442
7 14 0.00047
7 15 0.000636
7 16 0.000846
8 1 0.001282
8 2 0.000966
8 3 0.000678
8 4 0.00043
8 5 0.000454
8 6 0.00037
8 7 0.000388
8 8 0.000428
8 9 0.000462
8 10 0.000398
8 11 0.000384
8 12 0.000396
8 13 0.000418
8 14 0.0005
8 15 0.000684
8 16 0.000898
9 1 0.001334
9 2 0.001024
9 3 0.000654
9 4 0.000552
9 5 0.000402
9 6 0.00039
9 7 0.000382
9 8 0.000444
9 9 0.000408
9 10 0.000476
9 11 0.00043
9 12 0.000362
9 13 0.000414
9 14 0.000506
9 15 0.000664
9 16 0.00107
10 1 0.001794
10 2 0.001138
10 3 0.000718
10 4 0.00048
10 5 0.00044
10 6 0.00047
10 7 0.000552
10 8 0.00046
10 9 0.000466
10 10 0.00054
10 11 0.000558
10 12 0.000466
10 13 0.000464
10 14 0.000518
10 15 0.000648
10 16 0.001114
11 1 0.002146
11 2 0.001262
11 3 0.000716
11 4 0.000516
11 5 0.000524
11 6 0.000658
11 7 0.000616
11 8 0.000614
11 9 0.000618
11 10 0.000608
11 11 0.000654
11 12 0.000694
11 13 0.000504
11 14 0.000508
11 15 0.00076
11 16 0.001244
12 1 0.00293
12 2 0.001266
12 3 0.000712
12 4 0.00061
12 5 0.00071
12 6 0.000726
12 7 0.000738
12 8 0.0008
12 9 0.000726
12 10 0.00081
12 11 0.000804
12 12 0.000776
12 13 0.000636
12 14 0.000554
12 15 0.000628
12 16 0.001274
13 1 0.004414
13 2 0.001122
13 3 0.000658
13 4 0.000736
13 5 0.000946
13 6 0.000928
13 7 0.00084
13 8 0.000884
13 9 0.00094
13 10 0.000836
13 11 0.000872
13 12 0.001016
13 13 0.000898
13 14 0.000666
13 15 0.000614
13 16 0.001158
14 1 0.008236
14 2 0.000866
14 3 0.000746
14 4 0.000886
14 5 0.001032
14 6 0.001084
14 7 0.00092
14 8 0.000944
14 9 0.00101
14 10 0.000966
14 11 0.00095
14 12 0.00101
14 13 0.001068
14 14 0.000892
14 15 0.000792
14 16 0.000984
15 1 0.027968
15 2 0.000868
15 3 0.001084
15 4 0.001134
15 5 0.001214
15 6 0.001064
15 7 0.001068
15 8 0.001104
15 9 0.00099
15 10 0.001026
15 11 0.00105
15 12 0.001048
15 13 0.001082
15 14 0.001036
15 15 0.000948
15 16 0.000908
16 1 0.000532
16 2 0.000478
16 3 0.00055
16 4 0.000458
16 5 0.000564
16 6 0.00053
16 7 0.00057
16 8 0.00057
16 9 0.00053
16 10 0.000588
16 11 0.00057
16 12 0.000554
16 13 0.000508
16 14 0.000516
16 15 0.00044
16 16 0.000496
17 1 0.000432
17 2 0.000444
17 3 0.000472
