pixelID x y
1 0 0
2 0.4 0
3 0.8 0
4 1.2 0
5 1.6 0
6 2.0 0
7 2.4 0
8 2.8 0
9 3.2 0
10 3.6 0
11 4.0 0
12 4.4 0
13 4.8 0
14 5.2 0
15 5.6 0
16 6.0 0
17 6.4 0
18 6.8 0
19 7.2 0
20 7.6 0
21 8.0 0
22 8.4 0
23 8.8 0
24 9.2 0
25 9.6 0
26 10.0 0
27 10.4 0
28 10.8 0
29 11.2 0
30 11.6 0
31 12.0 0
32 12.4 0
33 12.8 0
34 13.2 0
35 13.6 0
36 14.0 0
37 14.4 0
38 -0.4 0
39 -0.8 0
40 -1.2 0
41 -1.6 0
42 -2.0 0
43 -2.4 0
44 -2.8 0
45 -3.2 0
46 -3.6 0
47 -4.0 0
48 -4.4 0
49 -4.8 0
50 -5.2 0
51 -5.6 0
52 -6.0 0
53 -6.4 0
54 -6.8 0
55 -7.2 0
56 -7.6 0
57 -8.0 0
58 -8.4 0
59 -8.8 0
60 -9.2 0
61 -9.6 0
62 -10.0 0
63 -10.4 0
64 -10.8 0
65 -11.2 0
66 -11.6 0
67 -12.0 0
68 -12.4 0
69 -12.8 0
70 -13.2 0
71 -13.6 0
72 -14.0 0
73 -14.4 0
74 0 0.4
75 0.4 0.4
76 0.8 0.4
77 1.2 0.4
78 1.6 0.4
79 2.0 0.4
80 2.4 0.4
81 2.8 0.4
82 3.2 0.4
83 3.6 0.4
84 4.0 0.4
85 4.4 0.4
86 4.8 0.4
87 5.2 0.4
88 5.6 0.4
89 6.0 0.4
90 6.4 0.4
91 6.8 0.4
92 7.2 0.4
93 7.6 0.4
94 8.0 0.4
95 8.4 0.4
96 8.8 0.4
97 9.2 0.4
98 9.6 0.4
99 10.0 0.4
100 10.4 0.4
101 10.8 0.4
102 11.2 0.4
103 11.6 0.4
104 12.0 0.4
105 12.4 0.4
106 12.8 0.4
107 13.2 0.4
108 13.6 0.4
109 14.0 0.4
110 14.4 0.4
111 -0.4 0.4
112 -0.8 0.4
113 -1.2 0.4
114 -1.6 0.4
115 -2.0 0.4
116 -2.4 0.4
117 -2.8 0.4
118 -3.2 0.4
119 -3.6 0.4
120 -4.0 0.4
121 -4.4 0.4
122 -4.8 0.4
123 -5.2 0.4
124 -5.6 0.4
125 -6.0 0.4
126 -6.4 0.4
127 -6.8 0.4
128 -7.2 0.4
129 -7.6 0.4
130 -8.0 0.4
131 -8.4 0.4
132 -8.8 0.4
133 -9.2 0.4
134 -9.6 0.4
135 -10.0 0.4
136 -10.4 0.4
137 -10.8 0.4
138 -11.2 0.4
139 -11.6 0.4
140 -12.0 0.4
141 -12.4 0.4
142 -12.8 0.4
143 -13.2 0.4
144 -13.6 0.4
145 -14.0 0.4
146 -14.4 0.4
147 0 0.8
148 0.4 0.8
149 0.8 0.8
150 1.2 0.8
151 1.6 0.8
152 2.0 0.8
153 2.4 0.8
154 2.8 0.8
155 3.2 0.8
156 3.6 0.8
157 4.0 0.8
158 4.4 0.8
159 4.8 0.8
160 5.2 0.8
161 5.6 0.8
162 6.0 0.8
163 6.4 0.8
164 6.8 0.8
165 7.2 0.8
166 7.6 0.8
167 8.0 0.8
168 8.4 0.8
169 8.8 0.8
170 9.2 0.8
171 9.6 0.8
172 10.0 0.8
173 10.4 0.8
174 10.8 0.8
175 11.2 0.8
176 11.6 0.8
177 12.0 0.8
178 12.4 0.8
179 12.8 0.8
180 13.2 0.8
181 13.6 0.8
182 14.0 0.8
183 14.4 0.8
184 -0.4 0.8
185 -0.8 0.8
186 -1.2 0.8
187 -1.6 0.8
188 -2.0 0.8
189 -2.4 0.8
190 -2.8 0.8
191 -3.2 0.8
192 -3.6 0.8
193 -4.0 0.8
194 -4.4 0.8
195 -4.8 0.8
196 -5.2 0.8
197 -5.6 0.8
198 -6.0 0.8
199 -6.4 0.8
200 -6.8 0.8
201 -7.2 0.8
202 -7.6 0.8
203 -8.0 0.8
204 -8.4 0.8
205 -8.8 0.8
206 -9.2 0.8
207 -9.6 0.8
208 -10.0 0.8
209 -10.4 0.8
210 -10.8 0.8
211 -11.2 0.8
212 -11.6 0.8
213 -12.0 0.8
214 -12.4 0.8
215 -12.8 0.8
216 -13.2 0.8
217 -13.6 0.8
218 -14.0 0.8
219 -14.4 0.8
220 0 1.2
221 0.4 1.2
222 0.8 1.2
223 1.2 1.2
224 1.6 1.2
225 2.0 1.2
226 2.4 1.2
227 2.8 1.2
228 3.2 1.2
229 3.6 1.2
230 4.0 1.2
231 4.4 1.2
232 4.8 1.2
233 5.2 1.2
234 5.6 1.2
235 6.0 1.2
236 6.4 1.2
237 6.8 1.2
238 7.2 1.2
239 7.6 1.2
240 8.0 1.2
241 8.4 1.2
242 8.8 1.2
243 9.2 1.2
244 9.6 1.2
245 10.0 1.2
246 10.4 1.2
247 10.8 1.2
248 11.2 1.2
249 11.6 1.2
250 12.0 1.2
251 12.4 1.2
252 12.8 1.2
253 13.2 1.2
254 13.6 1.2
255 14.0 1.2
256 14.4 1.2
257 -0.4 1.2
258 -0.8 1.2
259 -1.2 1.2
260 -1.6 1.2
261 -2.0 1.2
262 -2.4 1.2
263 -2.8 1.2
264 -3.2 1.2
265 -3.6 1.2
266 -4.0 1.2
267 -4.4 1.2
268 -4.8 1.2
269 -5.2 1.2
270 -5.6 1.2
271 -6.0 1.2
272 -6.4 1.2
273 -6.8 1.2
274 -7.2 1.2
275 -7.6 1.2
276 -8.0 1.2
277 -8.4 1.2
278 -8.8 1.2
279 -9.2 1.2
280 -9.6 1.2
281 -10.0 1.2
282 -10.4 1.2
283 -10.8 1.2
284 -11.2 1.2
285 -11.6 1.2
286 -12.0 1.2
287 -12.4 1.2
288 -12.8 1.2
289 -13.2 1.2
290 -13.6 1.2
