pixelID x y
1 0 0
2 0.9 0
3 1.8 0
4 2.7 0
5 3.6 0
6 4.5 0
7 5.4 0
8 6.3 0
9 7.2 0
10 8.1 0
11 9.0 0
12 9.9 0
13 10.8 0
14 11.7 0
15 12.6 0
16 13.5 0
17 14.4 0
18 -0.9 0
19 -1.8 0
20 -2.7 0
21 -3.6 0
22 -4.5 0
23 -5.4 0
24 -6.3 0
25 -7.2 0
26 -8.1 0
27 -9.0 0
28 -9.9 0
29 -10.8 0
30 -11.7 0
31 -12.6 0
32 -13.5 0
33 -14.4 0
34 0 0.9
35 0.9 0.9
36 1.8 0.9
37 2.7 0.9
38 3.6 0.9
39 4.5 0.9
40 5.4 0.9
41 6.3 0.9
42 7.2 0.9
43 8.1 0.9
44 9.0 0.9
45 9.9 0.9
46 10.8 0.9
47 11.7 0.9
48 12.6 0.9
49 13.5 0.9
50 14.4 0.9
51 -0.9 0.9
52 -1.8 0.9
53 -2.7 0.9
54 -3.6 0.9
55 -4.5 0.9
56 -5.4 0.9
57 -6.3 0.9
58 -7.2 0.9
59 -8.1 0.9
60 -9.0 0.9
61 -9.9 0.9
62 -10.8 0.9
63 -11.7 0.9
64 -12.6 0.9
65 -13.5 0.9
66 -14.4 0.9
67 0 1.8
68 0.9 1.8
69 1.8 1.8
70 2.7 1.8
71 3.6 1.8
72 4.5 1.8
73 5.4 1.8
74 6.3 1.8
75 7.2 1.8
76 8.1 1.8
77 9.0 1.8
78 9.9 1.8
79 10.8 1.8
80 11.7 1.8
81 12.6 1.8
82 13.5 1.8
83 -0.9 1.8
84 -1.8 1.8
85 -2.7 1.8
86 -3.6 1.8
87 -4.5 1.8
88 -5.4 1.8
89 -6.3 1.8
90 -7.2 1.8
91 -8.1 1.8
92 -9.0 1.8
93 -9.9 1.8
94 -10.8 1.8
95 -11.7 1.8
96 -12.6 1.8
97 -13.5 1.8
98 0 2.7
99 0.9 2.7
100 1.8 2.7
101 2.7 2.7
102 3.6 2.7
103 4.5 2.7
104 5.4 2.7
105 6.3 2.7
106 7.2 2.7
107 8.1 2.7
108 9.0 2.7
109 9.9 2.7
110 10.8 2.7
111 11.7 2.7
112 12.6 2.7
113 13.5 2.7
114 -0.9 2.7
115 -1.8 2.7
116 -2.7 2.7
117 -3.6 2.7
118 -4.5 2.7
119 -5.4 2.7
120 -6.3 2.7
121 -7.2 2.7
122 -8.1 2.7
123 -9.0 2.7
124 -9.9 2.7
125 -10.8 2.7
126 -11.7 2.7
127 -12.6 2.7
128 -13.5 2.7
129 0 3.6
130 0.9 3.6
131 1.8 3.6
132 2.7 3.6
133 3.6 3.6
134 4.5 3.6
135 5.4 3.6
136 6.3 3.6
137 7.2 3.6
138 8.1 3.6
139 9.0 3.6
140 9.9 3.6
141 10.8 3.6
142 11.7 3.6
143 12.6 3.6
144 13.5 3.6
145 -0.9 3.6
146 -1.8 3.6
147 -2.7 3.6
148 -3.6 3.6
149 -4.5 3.6
150 -5.4 3.6
151 -6.3 3.6
152 -7.2 3.6
153 -8.1 3.6
154 -9.0 3.6
155 -9.9 3.6
156 -10.8 3.6
157 -11.7 3.6
158 -12.6 3.6
159 -13.5 3.6
160 0 4.5
161 0.9 4.5
162 1.8 4.5
163 2.7 4.5
164 3.6 4.5
165 4.5 4.5
166 5.4 4.5
167 6.3 4.5
168 7.2 4.5
169 8.1 4.5
170 9.0 4.5
171 9.9 4.5
172 10.8 4.5
173 11.7 4.5
174 12.6 4.5
175 13.5 4.5
176 -0.9 4.5
177 -1.8 4.5
178 -2.7 4.5
179 -3.6 4.5
180 -4.5 4.5
181 -5.4 4.5
182 -6.3 4.5
183 -7.2 4.5
184 -8.1 4.5
185 -9.0 4.5
186 -9.9 4.5
187 -10.8 4.5
188 -11.7 4.5
189 -12.6 4.5
190 -13.5 4.5
191 0 5.4
192 0.9 5.4
193 1.8 5.4
194 2.7 5.4
195 3.6 5.4
196 4.5 5.4
197 5.4 5.4
198 6.3 5.4
199 7.2 5.4
200 8.1 5.4
201 9.0 5.4
202 9.9 5.4
203 10.8 5.4
204 11.7 5.4
205 12.6 5.4
206 -0.9 5.4
207 -1.8 5.4
208 -2.7 5.4
209 -3.6 5.4
210 -4.5 5.4
211 -5.4 5.4
212 -6.3 5.4
213 -7.2 5.4
214 -8.1 5.4
215 -9.0 5.4
216 -9.9 5.4
217 -10.8 5.4
218 -11.7 5.4
219 -12.6 5.4
220 0 6.3
221 0.9 6.3
222 1.8 6.3
223 2.7 6.3
224 3.6 6.3
225 4.5 6.3
226 5.4 6.3
227 6.3 6.3
228 7.2 6.3
229 8.1 6.3
230 9.0 6.3
231 9.9 6.3
232 10.8 6.3
233 11.7 6.3
234 12.6 6.3
235 -0.9 6.3
236 -1.8 6.3
237 -2.7 6.3
238 -3.6 6.3
239 -4.5 6.3
240 -5.4 6.3
241 -6.3 6.3
242 -7.2 6.3
243 -8.1 6.3
244 -9.0 6.3
245 -9.9 6.3
246 -10.8 6.3
247 -11.7 6.3
248 -12.6 6.3
249 0 7.2
250 0.9 7.2
251 1.8 7.2
252 2.7 7.2
253 3.6 7.2
254 4.5 7.2
255 5.4 7.2
256 6.3 7.2
257 7.2 7.2
258 8.1 7.2
259 9.0 7.2
260 9.9 7.2
261 10.8 7.2
262 11.7 7.2
263 -0.9 7.2
264 -1.8 7.2
265 -2.7 7.2
266 -3.6 7.2
267 -4.5 7.2
268 -5.4 7.2
269 -6.3 7.2
270 -7.2 7.2
271 -8.1 7.2
272 -9.0 7.2
273 -9.9 7.2
274 -10.8 7.2
275 -11.7 7.2
276 0 8.1
277 0.9 8.1
278 1.8 8.1
279 2.7 8.1
280 3.6 8.1
281 4.5 8.1
282 5.4 8.1
283 6.3 8.1
284 7.2 8.1
285 8.1 8.1
286 9.0 8.1
287 9.9 8.1
288 10.8 8.1
289 11.7 8.1
290 -0.9 8.1
291 -1.8 8.1
292 -2.7 8.1
293 -3.6 8.1
294 -4.5 8.1
295 -5.4 8.1
296 -6.3 8.1
297 -7.2 8.1
298 -8.1 8.1
299 -9.0 8.1
300 -9.9 8.1
301 -10.8 8.1
302 -11.7 8.1
303 0 9.0
304 0.9 9.0
305 1.8 9.0
306 2.7 9.0
307 3.6 9.0
308 4.5 9.0
309 5.4 9.0
310 6.3 9.0
311 7.2 9.0
312 8.1 9.0
313 9.0 9.0
314 9.9 9.0
315 10.8 9.0
316 -0.9 9.0
317 -1.8 9.0
318 -2.7 9.0
319 -3.6 9.0
320 -4.5 9.0
321 -5.4 9.0
322 -6.3 9.0
323 -7.2 9.0
324 -8.1 9.0
325 -9.0 9.0
326 -9.9 9.0
327 -10.8 9.0
328 0 9.9
329 0.9 9.9
330 1.8 9.9
331 2.7 9.9
332 3.6 9.9
333 4.5 9.9
334 5.4 9.9
335 6.3 9.9
336 7.2 9.9
337 8.1 9.9
338 9.0 9.9
339 9.9 9.9
340 -0.9 9.9
341 -1.8 9.9
342 -2.7 9.9
343 -3.6 9.9
344 -4.5 9.9
345 -5.4 9.9
346 -6.3 9.9
347 -7.2 9.9
348 -8.1 9.9
349 -9.0 9.9
350 -9.9 9.9
351 0 10.8
352 0.9 10.8
353 1.8 10.8
354 2.7 10.8
355 3.6 10.8
356 4.5 10.8
357 5.4 10.8
358 6.3 10.8
359 7.2 10.8
360 8.1 10.8
361 9.0 10.8
362 -0.9 10.8
363 -1.8 10.8
364 -2.7 10.8
365 -3.6 10.8
366 -4.5 10.8
367 -5.4 10.8
368 -6.3 10.8
369 -7.2 10.8
370 -8.1 10.8
371 -9.0 10.8
372 0 11.7
373 0.9 11.7
374 1.8 11.7
375 2.7 11.7
376 3.6 11.7
377 4.5 11.7
378 5.4 11.7
