pixelID x y
1 0 0
2 0.7 0
3 1.4 0
4 2.1 0
5 2.8 0
6 3.5 0
7 4.2 0
8 4.9 0
9 5.6 0
10 6.3 0
11 7.0 0
12 7.7 0
13 8.4 0
14 9.1 0
15 9.8 0
16 10.5 0
17 11.2 0
18 11.9 0
19 12.6 0
20 13.3 0
21 14.0 0
22 -0.7 0
23 -1.4 0
24 -2.1 0
25 -2.8 0
26 -3.5 0
27 -4.2 0
28 -4.9 0
29 -5.6 0
30 -6.3 0
31 -7.0 0
32 -7.7 0
33 -8.4 0
34 -9.1 0
35 -9.8 0
36 -10.5 0
37 -11.2 0
38 -11.9 0
39 -12.6 0
40 -13.3 0
41 -14.0 0
42 0 0.7
43 0.7 0.7
44 1.4 0.7
45 2.1 0.7
46 2.8 0.7
47 3.5 0.7
48 4.2 0.7
49 4.9 0.7
50 5.6 0.7
51 6.3 0.7
52 7.0 0.7
53 7.7 0.7
54 8.4 0.7
55 9.1 0.7
56 9.8 0.7
57 10.5 0.7
58 11.2 0.7
59 11.9 0.7
60 12.6 0.7
61 13.3 0.7
62 14.0 0.7
63 -0.7 0.7
64 -1.4 0.7
65 -2.1 0.7
66 -2.8 0.7
67 -3.5 0.7
68 -4.2 0.7
69 -4.9 0.7
70 -5.6 0.7
71 -6.3 0.7
72 -7.0 0.7
73 -7.7 0.7
74 -8.4 0.7
75 -9.1 0.7
76 -9.8 0.7
77 -10.5 0.7
78 -11.2 0.7
79 -11.9 0.7
80 -12.6 0.7
81 -13.3 0.7
82 -14.0 0.7
83 0 1.4
84 0.7 1.4
85 1.4 1.4
86 2.1 1.4
87 2.8 1.4
88 3.5 1.4
89 4.2 1.4
90 4.9 1.4
91 5.6 1.4
92 6.3 1.4
93 7.0 1.4
94 7.7 1.4
95 8.4 1.4
96 9.1 1.4
97 9.8 1.4
98 10.5 1.4
99 11.2 1.4
100 11.9 1.4
101 12.6 1.4
102 13.3 1.4
103 14.0 1.4
104 -0.7 1.4
105 -1.4 1.4
106 -2.1 1.4
107 -2.8 1.4
108 -3.5 1.4
109 -4.2 1.4
110 -4.9 1.4
111 -5.6 1.4
112 -6.3 1.4
113 -7.0 1.4
114 -7.7 1.4
115 -8.4 1.4
116 -9.1 1.4
117 -9.8 1.4
118 -10.5 1.4
119 -11.2 1.4
120 -11.9 1.4
121 -12.6 1.4
122 -13.3 1.4
123 -14.0 1.4
124 0 2.1
125 0.7 2.1
126 1.4 2.1
127 2.1 2.1
128 2.8 2.1
129 3.5 2.1
130 4.2 2.1
131 4.9 2.1
132 5.6 2.1
133 6.3 2.1
134 7.0 2.1
135 7.7 2.1
136 8.4 2.1
137 9.1 2.1
138 9.8 2.1
139 10.5 2.1
140 11.2 2.1
141 11.9 2.1
142 12.6 2.1
143 13.3 2.1
144 14.0 2.1
145 -0.7 2.1
146 -1.4 2.1
147 -2.1 2.1
148 -2.8 2.1
149 -3.5 2.1
150 -4.2 2.1
151 -4.9 2.1
152 -5.6 2.1
153 -6.3 2.1
154 -7.0 2.1
155 -7.7 2.1
156 -8.4 2.1
157 -9.1 2.1
158 -9.8 2.1
159 -10.5 2.1
160 -11.2 2.1
161 -11.9 2.1
162 -12.6 2.1
163 -13.3 2.1
164 -14.0 2.1
165 0 2.8
166 0.7 2.8
167 1.4 2.8
168 2.1 2.8
169 2.8 2.8
170 3.5 2.8
171 4.2 2.8
172 4.9 2.8
173 5.6 2.8
174 6.3 2.8
175 7.0 2.8
176 7.7 2.8
177 8.4 2.8
178 9.1 2.8
179 9.8 2.8
180 10.5 2.8
181 11.2 2.8
182 11.9 2.8
183 12.6 2.8
184 13.3 2.8
185 14.0 2.8
186 -0.7 2.8
187 -1.4 2.8
188 -2.1 2.8
189 -2.8 2.8
190 -3.5 2.8
191 -4.2 2.8
192 -4.9 2.8
193 -5.6 2.8
194 -6.3 2.8
195 -7.0 2.8
196 -7.7 2.8
197 -8.4 2.8
198 -9.1 2.8
199 -9.8 2.8
200 -10.5 2.8
201 -11.2 2.8
202 -11.9 2.8
203 -12.6 2.8
204 -13.3 2.8
205 -14.0 2.8
206 0 3.5
207 0.7 3.5
208 1.4 3.5
209 2.1 3.5
210 2.8 3.5
211 3.5 3.5
212 4.2 3.5
213 4.9 3.5
214 5.6 3.5
215 6.3 3.5
216 7.0 3.5
217 7.7 3.5
218 8.4 3.5
219 9.1 3.5
220 9.8 3.5
221 10.5 3.5
222 11.2 3.5
223 11.9 3.5
224 12.6 3.5
225 13.3 3.5
226 14.0 3.5
227 -0.7 3.5
