pixelID mppcID probability
1 1 0.000605574653739
2 1 0.000615907417964
3 1 0.000669188073274
4 1 0.00067999283404
5 1 0.000715911418682
6 1 0.000741258796326
7 1 0.000795947312283
8 1 0.000854753980831
9 1 0.000870641899511
10 1 0.000920489299789
11 1 0.000960382858769
12 1 0.00107583497174
13 1 0.00112233998932
14 1 0.00117858668476
15 1 0.00130933074759
16 1 0.00137910608001
17 1 0.00153268647901
18 1 0.00169658774557
19 1 0.00188093280008
20 1 0.00206618656739
21 1 0.00241195505747
22 1 0.0027492748964
23 1 0.00339764299847
24 1 0.00383844291723
25 1 0.00492285594639
26 1 0.00583670687277
27 1 0.008501204386
28 1 0.012062628676
29 1 0.0280162311234
30 1 0.000592291886058
31 1 0.000557673308805
32 1 0.000549832496335
33 1 0.00053074700474
34 1 0.000510759599361
35 1 0.000525648868733
36 1 0.000493070178451
37 1 0.000503228965723
38 1 0.000541387855698
39 1 0.000565798323671
40 1 0.000573975468997
41 1 0.000592871991049
42 1 0.000573210263048
43 1 0.000552576270902
44 1 0.000529853000362
45 1 0.000554558153873
46 1 0.000518061710845
47 1 0.000501066368078
48 1 0.000530061742053
49 1 0.000566677108652
50 1 0.000605962963759
51 1 0.000802328710601
52 1 0.00121559074784
53 1 0.0014158040843
54 1 0.00126567549501
55 1 0.00135904592288
56 1 0.00144084260027
57 1 0.00144965633545
58 1 0.000602860758336
59 1 0.000624754934179
60 1 0.000648270178745
61 1 0.000674742317495
62 1 0.000724063236462
63 1 0.000753407526115
64 1 0.0007958645941
65 1 0.000826505814415
66 1 0.000864229271142
67 1 0.000935885690083
68 1 0.000987238205118
69 1 0.00102154503807
70 1 0.00111220131054
71 1 0.00116765556716
72 1 0.00131672417931
73 1 0.00138666212795
74 1 0.00153598028017
75 1 0.00165785917972
76 1 0.0018805260203
77 1 0.00202803063227
78 1 0.00234257081159
79 1 0.00273844920188
80 1 0.0032729044819
81 1 0.00371054664469
82 1 0.00472201035614
83 1 0.00550883030468
84 1 0.00763575854151
85 1 0.00958447782801
86 1 0.0141429101512
87 1 0.000573063742577
88 1 0.000560927130082
89 1 0.000536097618323
90 1 0.000536728984022
91 1 0.00050896921889
92 1 0.000509876930789
93 1 0.000517763537793
94 1 0.000530772227563
95 1 0.000535325518502
96 1 0.000522166679718
97 1 0.000575030049453
98 1 0.000574263699079
99 1 0.000584047026912
100 1 0.000563201057396
101 1 0.000556524029008
102 1 0.000542390837873
103 1 0.000530674659927
104 1 0.000535947126159
105 1 0.000532084968444
106 1 0.000567321250967
107 1 0.00063107256431
108 1 0.000809554778509
109 1 0.00120211545393
110 1 0.00139684858555
111 1 0.00130252681663
112 1 0.00137253943718
113 1 0.00145108829698
114 1 0.00148470510517
115 1 0.000592027332163
116 1 0.000645801981916
117 1 0.000650233136351
118 1 0.000680547959594
119 1 0.00071115840459
120 1 0.000750700928437
121 1 0.000781373996571
122 1 0.000828370132141
123 1 0.000865106857026
124 1 0.000885122440622
125 1 0.000955644406035
126 1 0.00104111135136
127 1 0.00110313673293
128 1 0.00115068629719
129 1 0.00128562354647
130 1 0.0013543963452
131 1 0.00149254741348
132 1 0.00164642781447
133 1 0.00183124240885
134 1 0.00199795263716
135 1 0.00233730216247
136 1 0.00266173562724
137 1 0.00309445416736
138 1 0.00354999350221
139 1 0.00413265836712
140 1 0.00495181634367
141 1 0.00570315929797
142 1 0.00672087963303
143 1 0.00519164344165
144 1 0.000572452901664
145 1 0.000560412121051
146 1 0.000537172810329
147 1 0.000537890946142
148 1 0.00052325333651
149 1 0.000510110632179
150 1 0.000482509312921
151 1 0.000485169073093
152 1 0.000486601621661
153 1 0.000497265187185
154 1 0.000526144752969
155 1 0.000526697724593
156 1 0.00056556339465
157 1 0.000558299782039
158 1 0.000561204309737
159 1 0.000553003619504
