voxelID mppcID probability
4 127 0.0006544
4 128 0.0006504
5 1 0.0007464
5 2 0.000728
5 3 0.00072
5 4 0.0007096
5 5 0.0007232
5 6 0.0007064
5 7 0.0007376
5 8 0.000692
5 9 0.0006944
5 10 0.000668
5 11 0.0006944
5 12 0.00064
5 13 0.000624
5 14 0.0006344
5 15 0.0006392
5 16 0.000612
5 17 0.0006008
5 18 0.0006024
5 19 0.0005536
5 20 0.0005616
5 21 0.00056
5 22 0.0005536
5 23 0.0005624
5 24 0.0005072
5 25 0.0005352
5 26 0.000488
5 27 0.0005192
5 28 0.0004648
5 29 0.0004984
5 30 0.0004872
5 31 0.0004952
5 32 0.0004616
5 33 0.0004544
5 34 0.000456
5 35 0.0004672
5 36 0.000468
5 37 0.0004184
5 38 0.0004568
5 39 0.0004496
5 40 0.0004184
5 41 0.0004264
5 42 0.0004032
5 43 0.0004088
5 44 0.0004072
5 45 0.0004016
5 46 0.0003856
5 47 0.0003904
5 48 0.0003944
5 49 0.0004256
5 50 0.0003896
5 51 0.0003896
5 52 0.0004368
5 53 0.0004136
5 54 0.00038
5 55 0.0003912
5 56 0.0003912
5 57 0.0003792
5 58 0.0003776
5 59 0.0004096
5 60 0.0003952
5 61 0.0004096
5 62 0.000368
5 63 0.0004
5 64 0.0004016
5 65 0.0003896
5 66 0.0004208
5 67 0.0004208
5 68 0.0003992
5 69 0.000436
5 70 0.000416
5 71 0.0003928
5 72 0.0003592
5 73 0.0003936
5 74 0.0004184
5 75 0.0003912
5 76 0.0003984
5 77 0.0004056
5 78 0.0004256
5 79 0.000396
5 80 0.000416
5 81 0.000388
5 82 0.0004056
5 83 0.0003784
5 84 0.000424
5 85 0.0004024
5 86 0.0004312
5 87 0.0004392
5 88 0.000444
5 89 0.000408
5 90 0.0004384
5 91 0.0004368
5 92 0.00044
5 93 0.0004648
5 94 0.000452
5 95 0.000448
5 96 0.000452
5 97 0.0004552
5 98 0.0004952
5 99 0.000464
5 100 0.000444
5 101 0.000512
5 102 0.0004448
5 103 0.0004896
5 104 0.0004984
5 105 0.0005304
5 106 0.0005104
5 107 0.0005592
5 108 0.0005816
5 109 0.0005528
5 110 0.0005552
5 111 0.0006024
5 112 0.0005968
5 113 0.0006296
5 114 0.0006016
5 115 0.0006496
5 116 0.0006392
5 117 0.0006168
5 118 0.0006504
5 119 0.0007056
5 120 0.000684
5 121 0.0006808
5 122 0.0007224
5 123 0.0007112
5 124 0.0007664
5 125 0.0007344
5 126 0.0007576
5 127 0.0007184
5 128 0.0007176
6 1 0.000832
6 2 0.000808
6 3 0.0008032
6 4 0.0007648
6 5 0.0007816
6 6 0.0008144
6 7 0.0008088
6 8 0.0008096
6 9 0.0007488
6 10 0.0007528
6 11 0.0007472
6 12 0.0007256
6 13 0.0006704
6 14 0.000692
6 15 0.0006848
6 16 0.00064
6 17 0.0005896
6 18 0.0006288
6 19 0.0005816
6 20 0.0005768
6 21 0.0005912
6 22 0.0005128
6 23 0.00054
6 24 0.0004848
6 25 0.0005264
6 26 0.000536
6 27 0.0005352
6 28 0.000512
6 29 0.0004656
6 30 0.0004824
6 31 0.000452
6 32 0.0004568
6 33 0.000468
6 34 0.0004208
6 35 0.0004472
6 36 0.0004288
6 37 0.0004032
6 38 0.000412
6 39 0.0004056
6 40 0.00038
6 41 0.0004
6 42 0.0003896
6 43 0.0003936
6 44 0.000392
6 45 0.0003776
6 46 0.0003872
6 47 0.0003816
6 48 0.0003832
6 49 0.0003712
6 50 0.0003752
6 51 0.0003832
6 52 0.0003888
6 53 0.0004032
6 54 0.0003816
6 55 0.0003952
6 56 0.00038
6 57 0.0003688
6 58 0.0003728
6 59 0.0004032
6 60 0.0004288
6 61 0.000384
6 62 0.00038
6 63 0.0003976
6 64 0.0003992
6 65 0.0003704
6 66 0.0004008
6 67 0.0004144
6 68 0.0003544
6 69 0.0004072
6 70 0.000412
6 71 0.0003864
6 72 0.0004008
6 73 0.0004344
6 74 0.0003984
6 75 0.0003792
6 76 0.0003992
6 77 0.000372
6 78 0.0003736
6 79 0.0004464
6 80 0.0003784
6 81 0.000412
6 82 0.0004008
6 83 0.0003792
6 84 0.0004152
6 85 0.0003944
6 86 0.000404
6 87 0.0004208
6 88 0.000412
6 89 0.0004208
6 90 0.0003904
6 91 0.0004056
6 92 0.0003944
6 93 0.0004144
6 94 0.0004016
6 95 0.0004384
6 96 0.0004216
6 97 0.0004488
6 98 0.000484
6 99 0.0004544
6 100 0.0004872
6 101 0.0004432
6 102 0.0004392
6 103 0.0005048
6 104 0.000492
6 105 0.000512
6 106 0.0005208
6 107 0.0005232
6 108 0.0005392
6 109 0.0005136
6 110 0.0006056
6 111 0.0005752
6 112 0.0006168
6 113 0.000624
6 114 0.0006608
6 115 0.0006528
6 116 0.0006656
6 117 0.0006664
6 118 0.0007144
6 119 0.0007624
6 120 0.0007528
6 121 0.0007784
6 122 0.0008216
6 123 0.0007344
6 124 0.0007848
6 125 0.0008088
6 126 0.0008064
6 127 0.0008368
6 128 0.0008672
7 1 0.0009096
7 2 0.0009232
7 3 0.0009096
7 4 0.0009592
7 5 0.000908
7 6 0.0008728
7 7 0.0008864
7 8 0.0008672
7 9 0.0008392
7 10 0.000788
7 11 0.000764
7 12 0.0007352
7 13 0.0007632
7 14 0.0007552
7 15 0.0006536
7 16 0.0006856
7 17 0.0006248
7 18 0.0006432
7 19 0.0006
7 20 0.0005824
7 21 0.0006008
7 22 0.000544
7 23 0.0005432
7 24 0.000468
7 25 0.0005016
7 26 0.0004848
7 27 0.0005064
7 28 0.0004536
7 29 0.0004392
7 30 0.000436
7 31 0.0004648
7 32 0.0004432
7 33 0.0004392
7 34 0.000428
7 35 0.0004088
7 36 0.0004128
7 37 0.0003672
7 38 0.0004128
7 39 0.0003816
7 40 0.000384
7 41 0.0004024
7 42 0.0003816
7 43 0.0004032
7 44 0.000368
7 45 0.0003664
7 46 0.000388
7 47 0.0004144
7 48 0.000372
7 49 0.0003744
7 50 0.0003648
7 51 0.0003944
7 52 0.0003848
7 53 0.000372
7 54 0.0003888
7 55 0.000404
7 56 0.0004088
7 57 0.0003952
7 58 0.0003824
7 59 0.0003728
7 60 0.0003656
7 61 0.0004032
7 62 0.0003768
7 63 0.0003872
7 64 0.0003816
7 65 0.00042
7 66 0.0003392
7 67 0.0004016
7 68 0.0003928
7 69 0.0003944
7 70 0.0003888
