pixelID mppcID probability
1 1 0.0004992
1 2 0.0005224
1 3 0.0004976
1 4 0.0004904
1 5 0.0005072
1 6 0.0004832
1 7 0.00048
1 8 0.0004864
1 9 0.0004688
1 10 0.0004952
1 11 0.0005128
1 12 0.000512
1 13 0.0005208
1 14 0.0005248
1 15 0.0004776
1 16 0.000508
1 17 0.0004872
1 18 0.0004952
1 19 0.0005168
1 20 0.0005488
1 21 0.0005048
1 22 0.0005008
1 23 0.0004968
1 24 0.0004928
1 25 0.0004992
1 26 0.0004744
1 27 0.0004792
1 28 0.0005064
1 29 0.0005336
1 30 0.0005288
1 31 0.0004888
1 32 0.0005024
2 1 0.0005784
2 2 0.0005448
2 3 0.0005168
2 4 0.0005456
2 5 0.0005504
2 6 0.0005664
2 7 0.0004992
2 8 0.00048
2 9 0.0004632
2 10 0.0005184
2 11 0.0004488
2 12 0.0005
2 13 0.0004632
2 14 0.0004888
2 15 0.0004752
2 16 0.0005088
2 17 0.0004832
2 18 0.0004688
2 19 0.0004712
2 20 0.0004432
2 21 0.0004632
2 22 0.0004696
2 23 0.0004784
2 24 0.0005184
2 25 0.0005064
2 26 0.0005208
2 27 0.0004784
2 28 0.0004928
2 29 0.0005288
2 30 0.0005616
2 31 0.0005472
2 32 0.000532
3 1 0.0006216
3 2 0.0005752
3 3 0.0005672
3 4 0.0005784
3 5 0.000528
3 6 0.0004872
3 7 0.0005456
3 8 0.0005112
3 9 0.0004944
3 10 0.0004896
3 11 0.0004816
3 12 0.0004368
3 13 0.0004696
3 14 0.0004552
3 15 0.0004472
3 16 0.0004536
3 17 0.000412
3 18 0.0004624
3 19 0.00044
3 20 0.0004536
3 21 0.0004592
3 22 0.0004344
3 23 0.0004512
3 24 0.0005072
3 25 0.0005024
3 26 0.00052
3 27 0.000504
3 28 0.000544
3 29 0.0005456
3 30 0.000544
3 31 0.0005568
3 32 0.000592
4 1 0.0006976
4 2 0.0006296
4 3 0.0006336
4 4 0.0005872
4 5 0.0006168
4 6 0.000588
4 7 0.0005176
4 8 0.0004824
4 9 0.000476
4 10 0.0004672
4 11 0.0004616
4 12 0.0004256
4 13 0.0004616
4 14 0.0004504
4 15 0.0004496
4 16 0.0004096
4 17 0.0004448
4 18 0.0003984
4 19 0.000408
4 20 0.0004472
4 21 0.000388
4 22 0.0004096
4 23 0.0004424
4 24 0.0004984
4 25 0.0005016
4 26 0.0005096
4 27 0.0005272
4 28 0.0005576
4 29 0.0005904
4 30 0.0006016
4 31 0.0006408
4 32 0.0006536
5 1 0.0007464
5 2 0.0007232
5 3 0.0006944
5 4 0.000624
5 5 0.0006008
5 6 0.00056
5 7 0.0005352
5 8 0.0004984
5 9 0.0004544
5 10 0.0004184
5 11 0.0004264
5 12 0.0004016
5 13 0.0004256
5 14 0.0004136
5 15 0.0003792
5 16 0.0004096
5 17 0.0003896
5 18 0.000436
5 19 0.0003936
5 20 0.0004056
5 21 0.000388
5 22 0.0004024
5 23 0.000408
5 24 0.0004648
5 25 0.0004552
5 26 0.000512
5 27 0.0005304
5 28 0.0005528
5 29 0.0006296
5 30 0.0006168
5 31 0.0006808
5 32 0.0007344
6 1 0.000832
6 2 0.0007816
6 3 0.0007488
6 4 0.0006704
6 5 0.0005896
6 6 0.0005912
6 7 0.0005264
6 8 0.0004656
6 9 0.000468
6 10 0.0004032
6 11 0.0004
6 12 0.0003776
6 13 0.0003712
6 14 0.0004032
6 15 0.0003688
6 16 0.000384
6 17 0.0003704
6 18 0.0004072
6 19 0.0004344
6 20 0.000372
6 21 0.000412
6 22 0.0003944
6 23 0.0004208
6 24 0.0004144
6 25 0.0004488
6 26 0.0004432
6 27 0.000512
6 28 0.0005136
6 29 0.000624
6 30 0.0006664
6 31 0.0007784
6 32 0.0008088
7 1 0.0009096
7 2 0.000908
7 3 0.0008392
7 4 0.0007632
7 5 0.0006248
7 6 0.0006008
7 7 0.0005016
7 8 0.0004392
7 9 0.0004392
7 10 0.0003672
7 11 0.0004024
7 12 0.0003664
7 13 0.0003744
7 14 0.000372
7 15 0.0003952
7 16 0.0004032
7 17 0.00042
7 18 0.0003944
7 19 0.000408
7 20 0.000356
7 21 0.0003904
7 22 0.0003784
7 23 0.0004072
7 24 0.0004256
7 25 0.0004336
7 26 0.0004552
7 27 0.0004888
7 28 0.000584
7 29 0.000612
7 30 0.0007832
7 31 0.0007992
7 32 0.0009136
8 1 0.0011368
8 2 0.0010208
8 3 0.000932
8 4 0.0007584
8 5 0.000656
8 6 0.000576
8 7 0.000456
8 8 0.0003928
8 9 0.000424
8 10 0.0003776
8 11 0.0003752
8 12 0.0003688
8 13 0.0003944
8 14 0.0003688
8 15 0.000372
8 16 0.0004224
8 17 0.000408
8 18 0.00036
8 19 0.0003968
8 20 0.0004208
8 21 0.0003872
8 22 0.0003592
8 23 0.0003808
8 24 0.0003896
8 25 0.0004184
8 26 0.0004328
8 27 0.0004872
8 28 0.0005576
8 29 0.0006232
8 30 0.0007832
8 31 0.000872
8 32 0.0010504
9 1 0.0012936
9 2 0.0011992
9 3 0.0009944
9 4 0.0007792
9 5 0.0006176
9 6 0.0005224
9 7 0.0004888
9 8 0.0004608
9 9 0.0004008
9 10 0.000352
9 11 0.0004032
9 12 0.0003944
9 13 0.000408
9 14 0.0003896
9 15 0.00044
9 16 0.0004296
9 17 0.0003704
9 18 0.0004352
9 19 0.0003888
9 20 0.0004184
9 21 0.0004224
9 22 0.000416
9 23 0.0003888
9 24 0.000416
9 25 0.0003888
9 26 0.0004392
9 27 0.0005064
9 28 0.000524
9 29 0.0006672
9 30 0.0007792
9 31 0.001004
9 32 0.0011408
10 1 0.0015864
10 2 0.001484
10 3 0.0011424
10 4 0.0008224
10 5 0.0006032
10 6 0.0005832
10 7 0.0004456
10 8 0.0004288
10 9 0.00044
10 10 0.0004272
10 11 0.0004768
10 12 0.0005128
10 13 0.0005312
10 14 0.000484
10 15 0.000528
10 16 0.0004824
10 17 0.0004408
10 18 0.0004984
10 19 0.0004872
10 20 0.0005312
10 21 0.0004984
10 22 0.0005256
10 23 0.0004664
10 24 0.0004568
10 25 0.0004424
10 26 0.0004576
10 27 0.0005016
10 28 0.0005952
10 29 0.0006128
10 30 0.0008232
10 31 0.0010896
10 32 0.0013976
11 1 0.0019984
11 2 0.0017184
11 3 0.0011496
11 4 0.00084
11 5 0.0006616
11 6 0.0005392
11 7 0.0004816
11 8 0.000504
11 9 0.000468
11 10 0.0005584
11 11 0.0006272
11 12 0.0006104
11 13 0.00062
11 14 0.00064
11 15 0.0006536
11 16 0.000604
11 17 0.0006088
11 18 0.0005984
11 19 0.0006024
11 20 0.0006376
11 21 0.000656
11 22 0.0006808
11 23 0.0006144
11 24 0.0005584
11 25 0.0005384
11 26 0.0004872
11 27 0.0005256
11 28 0.0005664
11 29 0.000612
11 30 0.0008576
11 31 0.0011632
11 32 0.0016808
12 1 0.0028584
12 2 0.0018616
12 3 0.0011488
12 4 0.000804
12 5 0.0006448
12 6 0.0005144
12 7 0.0005208
12 8 0.0005904
12 9 0.00064
12 10 0.0007304
12 11 0.000756
12 12 0.0007848
12 13 0.0007456
12 14 0.0007656
12 15 0.0007424
12 16 0.0007648
12 17 0.0006992
12 18 0.0007224
12 19 0.000796
12 20 0.0007592
12 21 0.000732
12 22 0.0007672
12 23 0.0007696
12 24 0.00074
12 25 0.0006744
12 26 0.0006176
12 27 0.0005496
12 28 0.0005416
12 29 0.0006104
12 30 0.0008224
12 31 0.0011504
12 32 0.0019496
13 1 0.0040512
13 2 0.0022136
13 3 0.0010048
13 4 0.0007256
13 5 0.0006552
13 6 0.0006456
13 7 0.0006728
13 8 0.0007616
13 9 0.0008664
13 10 0.0009264
13 11 0.0009232
13 12 0.0008736
13 13 0.0008848
13 14 0.0009264
13 15 0.0008616
13 16 0.000872
13 17 0.0008672
13 18 0.0008936
13 19 0.0008816
13 20 0.0008432
13 21 0.0008816
13 22 0.000896
13 23 0.0009208
13 24 0.000964
13 25 0.0008376
13 26 0.0008128
13 27 0.000648
13 28 0.00064
13 29 0.0006264
13 30 0.0007512
13 31 0.0010184
13 32 0.0021352
14 1 0.0070656
14 2 0.0019392
14 3 0.0008928
14 4 0.000756
14 5 0.0006952
14 6 0.0007704
14 7 0.000852
14 8 0.0009688
14 9 0.0010176
14 10 0.0010288
14 11 0.0009784
14 12 0.0009536
14 13 0.000892
14 14 0.0009472
14 15 0.0009312
14 16 0.0009856
14 17 0.0010488
14 18 0.0009528
14 19 0.0009304
14 20 0.000912
14 21 0.000932
14 22 0.0009544
14 23 0.0010088
14 24 0.001028
14 25 0.0010416
14 26 0.0009456
14 27 0.0008808
14 28 0.0008064
14 29 0.0007448
14 30 0.0007288
14 31 0.000936
14 32 0.0019096
15 1 0.0178088
15 2 0.001164
15 3 0.0008864
15 4 0.0008992
15 5 0.001036
15 6 0.0010616
15 7 0.0011248
15 8 0.0012
15 9 0.0010424
15 10 0.0010712
15 11 0.0010392
15 12 0.0010048
15 13 0.001
15 14 0.0009864
15 15 0.0009712
15 16 0.0010168
15 17 0.0010336
15 18 0.0010256
15 19 0.0010416
15 20 0.0009968
15 21 0.0009856
15 22 0.0010248
15 23 0.0010544
15 24 0.0010728
15 25 0.001116
15 26 0.0011376
15 27 0.0011272
15 28 0.0011088
15 29 0.0010072
15 30 0.000912
15 31 0.0009152
15 32 0.0012096
16 1 0.00048
16 2 0.0004432
16 3 0.000516
16 4 0.0004464
16 5 0.0004712
16 6 0.0005192
16 7 0.0005032
16 8 0.0004952
16 9 0.0004784
16 10 0.0004936
16 11 0.000488
16 12 0.0004896
16 13 0.0005184
16 14 0.000536
16 15 0.00054
16 16 0.0005528
16 17 0.0005152
16 18 0.0005368
16 19 0.0005488
16 20 0.0005384
16 21 0.000528
16 22 0.0005472
16 23 0.0005176
16 24 0.0005168
16 25 0.0004688
16 26 0.000488
16 27 0.0004832
16 28 0.0004648
16 29 0.0004416
16 30 0.0004808
16 31 0.0004704
16 32 0.0004528
17 1 0.0004288
17 2 0.0004312
17 3 0.000452
17 4 0.0004536
17 5 0.0004256
17 6 0.0004288
