pixelID mppcID probability
1 1 0.0004992
1 2 0.0005072
1 3 0.0004688
1 4 0.0005208
1 5 0.0004872
1 6 0.0005048
1 7 0.0004992
1 8 0.0005336
2 1 0.0005784
2 2 0.0005504
2 3 0.0004632
2 4 0.0004632
2 5 0.0004832
2 6 0.0004632
2 7 0.0005064
2 8 0.0005288
3 1 0.0006216
3 2 0.000528
3 3 0.0004944
3 4 0.0004696
3 5 0.000412
3 6 0.0004592
3 7 0.0005024
3 8 0.0005456
4 1 0.0006976
4 2 0.0006168
4 3 0.000476
4 4 0.0004616
4 5 0.0004448
4 6 0.000388
4 7 0.0005016
4 8 0.0005904
5 1 0.0007464
5 2 0.0006008
5 3 0.0004544
5 4 0.0004256
5 5 0.0003896
5 6 0.000388
5 7 0.0004552
5 8 0.0006296
6 1 0.000832
6 2 0.0005896
6 3 0.000468
6 4 0.0003712
6 5 0.0003704
6 6 0.000412
6 7 0.0004488
6 8 0.000624
7 1 0.0009096
7 2 0.0006248
7 3 0.0004392
7 4 0.0003744
7 5 0.00042
7 6 0.0003904
7 7 0.0004336
7 8 0.000612
8 1 0.0011368
8 2 0.000656
8 3 0.000424
8 4 0.0003944
8 5 0.000408
8 6 0.0003872
8 7 0.0004184
8 8 0.0006232
9 1 0.0012936
9 2 0.0006176
9 3 0.0004008
9 4 0.000408
9 5 0.0003704
9 6 0.0004224
9 7 0.0003888
9 8 0.0006672
10 1 0.0015864
10 2 0.0006032
10 3 0.00044
10 4 0.0005312
10 5 0.0004408
10 6 0.0004984
10 7 0.0004424
10 8 0.0006128
11 1 0.0019984
11 2 0.0006616
11 3 0.000468
11 4 0.00062
11 5 0.0006088
11 6 0.000656
11 7 0.0005384
11 8 0.000612
12 1 0.0028584
12 2 0.0006448
12 3 0.00064
12 4 0.0007456
12 5 0.0006992
12 6 0.000732
12 7 0.0006744
12 8 0.0006104
13 1 0.0040512
13 2 0.0006552
13 3 0.0008664
13 4 0.0008848
13 5 0.0008672
13 6 0.0008816
13 7 0.0008376
13 8 0.0006264
14 1 0.0070656
14 2 0.0006952
14 3 0.0010176
14 4 0.000892
14 5 0.0010488
14 6 0.000932
14 7 0.0010416
14 8 0.0007448
15 1 0.0178088
15 2 0.001036
15 3 0.0010424
15 4 0.001
15 5 0.0010336
15 6 0.0009856
15 7 0.001116
15 8 0.0010072
16 1 0.00048
16 2 0.0004712
16 3 0.0004784
16 4 0.0005184
16 5 0.0005152
16 6 0.000528
16 7 0.0004688
16 8 0.0004416
17 1 0.0004288
17 2 0.0004256
17 3 0.0005328
17 4 0.00052
17 5 0.0005936
17 6 0.00056
17 7 0.0004768
17 8 0.00046
18 1 0.000432
18 2 0.0003968
18 3 0.0005048
18 4 0.0006064
18 5 0.0006472
18 6 0.0005864
18 7 0.0004888
18 8 0.0004024
19 1 0.000408
19 2 0.0004088
19 3 0.0004528
19 4 0.0006176
19 5 0.0007016
19 6 0.0006256
19 7 0.0004696
19 8 0.0003792
20 1 0.0004056
20 2 0.0003872
20 3 0.0004504
20 4 0.0006168
20 5 0.0008528
20 6 0.00064
20 7 0.0004432
20 8 0.000376
21 1 0.0004056
21 2 0.0003648
21 3 0.0004408
21 4 0.0006168
21 5 0.0009392
21 6 0.0006472
21 7 0.0004088
21 8 0.0003808
22 1 0.0003952
22 2 0.000372
22 3 0.0004
22 4 0.0006672
22 5 0.0011288
22 6 0.0006456
22 7 0.0004288
22 8 0.0003968
23 1 0.0004136
23 2 0.0004296
23 3 0.0004048
23 4 0.0006808
23 5 0.0013224
23 6 0.0006408
23 7 0.000416
23 8 0.0003904
24 1 0.0004432
24 2 0.000544
24 3 0.0004352
24 4 0.0006168
24 5 0.0015384
24 6 0.0006464
24 7 0.0004368
24 8 0.0005112
25 1 0.0005424
25 2 0.0006768
25 3 0.0005232
25 4 0.0006504
25 5 0.0020256
25 6 0.0006552
25 7 0.0004952
25 8 0.0006992
26 1 0.0007368
26 2 0.000728
26 3 0.00068
26 4 0.0006232
26 5 0.0027088
26 6 0.0006272
26 7 0.0006528
26 8 0.00082
27 1 0.0008704
27 2 0.000872
27 3 0.0008168
27 4 0.000596
27 5 0.0040936
27 6 0.0006264
27 7 0.0008416
27 8 0.0008376
28 1 0.0009976
28 2 0.0008736
28 3 0.0010432
28 4 0.0007912
28 5 0.0069728
28 6 0.0007504
28 7 0.0010328
28 8 0.000928
29 1 0.0010752
29 2 0.0009912
29 3 0.0010736
29 4 0.001012
29 5 0.0181
29 6 0.001004
29 7 0.0011264
29 8 0.0009736
30 1 0.0004504
30 2 0.000536
30 3 0.0005672
30 4 0.0004952
30 5 0.0004632
30 6 0.0004784
30 7 0.0004288
30 8 0.0004992
31 1 0.0005024
31 2 0.0005536
31 3 0.000568
31 4 0.0004968
31 5 0.0004544
31 6 0.0004696
31 7 0.0004736
31 8 0.0005232
32 1 0.0006416
32 2 0.0005888
32 3 0.0005208
32 4 0.0004688
32 5 0.0004288
32 6 0.0004464
32 7 0.0004688
32 8 0.0005024
33 1 0.0006648
33 2 0.0006312
33 3 0.0005288
33 4 0.0004904
33 5 0.0003992
33 6 0.0004272
33 7 0.000444
33 8 0.0005032
34 1 0.0007224
34 2 0.0006776
34 3 0.000472
34 4 0.0004152
34 5 0.0003888
34 6 0.0004064
34 7 0.0004384
34 8 0.0006032
35 1 0.0007912
35 2 0.0007208
35 3 0.0005192
35 4 0.0004064
35 5 0.0003824
35 6 0.0004088
35 7 0.000468
35 8 0.0005632
36 1 0.0009552
36 2 0.000708
36 3 0.0003984
36 4 0.0003512
36 5 0.0003664
36 6 0.000376
36 7 0.0004256
36 8 0.0005608
37 1 0.001108
37 2 0.0007456
37 3 0.000408
37 4 0.0003864
37 5 0.000388
37 6 0.0004088
37 7 0.0004032
37 8 0.0005856
38 1 0.001316
38 2 0.0007712
38 3 0.000404
38 4 0.0004264
38 5 0.0004008
38 6 0.0004072
38 7 0.0003952
38 8 0.0005848
39 1 0.0015368
39 2 0.0006968
39 3 0.0004584
39 4 0.0005512
39 5 0.0004736
39 6 0.0005648
39 7 0.0004704
39 8 0.000596
40 1 0.001964
40 2 0.000684
40 3 0.0005168
40 4 0.0006496
40 5 0.0006512
40 6 0.0006552
40 7 0.000528
40 8 0.0005704
41 1 0.0025896
41 2 0.0006872
41 3 0.0006344
41 4 0.0007616
41 5 0.0006992
41 6 0.000828
41 7 0.0007192
41 8 0.000608
42 1 0.0034304
42 2 0.00064
42 3 0.0007936
42 4 0.0008736
42 5 0.000872
42 6 0.0008456
42 7 0.0009064
42 8 0.0006112
43 1 0.0048696
43 2 0.0007424
43 3 0.0010216
43 4 0.0008896
43 5 0.0010136
43 6 0.0008984
43 7 0.0010352
43 8 0.0007936
44 1 0.0041392
44 2 0.00096
44 3 0.0011448
44 4 0.000956
44 5 0.0011192
44 6 0.0009936
44 7 0.0011264
44 8 0.0010192
45 1 0.000468
45 2 0.0004872
45 3 0.0005544
45 4 0.0005768
45 5 0.0005496
45 6 0.0005312
45 7 0.0004608
45 8 0.0004408
46 1 0.0004424
46 2 0.000456
46 3 0.0005168
46 4 0.0005792
46 5 0.0005928
46 6 0.0005328
46 7 0.0004416
46 8 0.0004336
47 1 0.0004304
47 2 0.0004192
47 3 0.0005288
47 4 0.0006288
47 5 0.0006584
47 6 0.0005392
47 7 0.0004488
47 8 0.00042
48 1 0.000372
48 2 0.0003832
48 3 0.0004904
48 4 0.0006824
48 5 0.0007232
48 6 0.0005896
48 7 0.0004096
48 8 0.0004184
49 1 0.000396
49 2 0.0004048
49 3 0.00048
49 4 0.00074
49 5 0.00084
49 6 0.0005656
49 7 0.0004248
49 8 0.0004008
50 1 0.00038
50 2 0.0003784
50 3 0.0004672
50 4 0.0007512
50 5 0.0009096
50 6 0.0005624
50 7 0.000396
50 8 0.0003528
51 1 0.0003904
51 2 0.000368
51 3 0.0004368
51 4 0.0007136
51 5 0.0010416
51 6 0.00058
51 7 0.000404
51 8 0.0003832
52 1 0.0004232
52 2 0.0004168
52 3 0.0004368
52 4 0.0006768
52 5 0.0013072
52 6 0.000584
52 7 0.000396
52 8 0.0004376
53 1 0.0004656
53 2 0.000512
53 3 0.0004632
53 4 0.0007
53 5 0.0015784
53 6 0.000588
53 7 0.0004144
53 8 0.0005256
54 1 0.0006
54 2 0.0006456
54 3 0.0005104
54 4 0.0007016
54 5 0.0019304
54 6 0.0005824
54 7 0.0005496
54 8 0.0006528
55 1 0.0007072
55 2 0.000764
55 3 0.000644
55 4 0.0006912
55 5 0.0026184
55 6 0.0005648
55 7 0.0007192
55 8 0.0008048
56 1 0.0009416
56 2 0.0008984
56 3 0.0008824
56 4 0.0006456
56 5 0.0035968
56 6 0.0006456
56 7 0.0008848
56 8 0.0008264
57 1 0.000984
57 2 0.0009304
